state,district,year,quarter,registered_users,app_opens
Andhra Pradesh,east godavari district,2019,1,839277,0
Andhra Pradesh,srikakulam district,2019,1,345775,0
Andhra Pradesh,visakhapatnam district,2019,1,1174517,0
Andhra Pradesh,prakasam district,2019,1,474260,0
Andhra Pradesh,anantapur district,2019,1,612162,0
Andhra Pradesh,kurnool district,2019,1,599422,0
Andhra Pradesh,guntur district,2019,1,802394,0
Andhra Pradesh,krishna district,2019,1,833694,0
Andhra Pradesh,spsr nellore district,2019,1,491908,0
Andhra Pradesh,vizianagaram district,2019,1,313334,0
Andhra Pradesh,ysr district,2019,1,460590,0
Andhra Pradesh,west godavari district,2019,1,523372,0
Andhra Pradesh,chittoor district,2019,1,812314,0
Andhra Pradesh,east godavari district,2019,2,945181,7156762
Andhra Pradesh,srikakulam district,2019,2,392764,3230330
Andhra Pradesh,visakhapatnam district,2019,2,1318740,13681907
Andhra Pradesh,prakasam district,2019,2,539462,4488365
Andhra Pradesh,anantapur district,2019,2,695114,6056591
Andhra Pradesh,kurnool district,2019,2,680118,6240480
Andhra Pradesh,guntur district,2019,2,915256,7268875
Andhra Pradesh,krishna district,2019,2,952300,7822632
Andhra Pradesh,spsr nellore district,2019,2,558303,4774473
Andhra Pradesh,vizianagaram district,2019,2,355058,3541678
Andhra Pradesh,ysr district,2019,2,519031,4345848
Andhra Pradesh,west godavari district,2019,2,592185,3853094
Andhra Pradesh,chittoor district,2019,2,925491,8914216
Andhra Pradesh,east godavari district,2019,3,1057167,28275322
Andhra Pradesh,srikakulam district,2019,3,437939,11813195
Andhra Pradesh,visakhapatnam district,2019,3,1460464,54836001
Andhra Pradesh,prakasam district,2019,3,598568,16267041
Andhra Pradesh,anantapur district,2019,3,773656,22845084
Andhra Pradesh,kurnool district,2019,3,755024,22827473
Andhra Pradesh,guntur district,2019,3,1026418,28477132
Andhra Pradesh,krishna district,2019,3,1066546,30077671
Andhra Pradesh,spsr nellore district,2019,3,619592,17768733
Andhra Pradesh,vizianagaram district,2019,3,394375,13065845
Andhra Pradesh,ysr district,2019,3,574109,15833900
